100090,162,15166,543,0
100134,109,15086,510,1
100322,144,9098,575,1
100380,119,14517,585,1
100458,143,17073,515,0
100479,195,9762,452,0
100520,124,15158,459,1
100672,149,14197,529,0
100673,171,18152,565,1
100724,211,13366,443,0
100727,136,13630,528,0
100765,143,22639,540,1
100801,103,11678,483,1
100813,172,11586,551,1
100821,101,14330,473,1
100859,138,12754,490,1
100867,152,9904,510,0
100951,134,9732,524,1
101074,161,11270,524,1
101092,145,15546,517,0
101140,150,8070,501,1
101181,130,11712,396,1
101244,148,12534,566,1
101290,187,8992,542,0
101291,155,17528,514,0
101298,172,8852,522,1
101307,139,10828,556,1
101623,153,10936,479,0
101627,177,15070,490,0
101718,133,12778,445,1
101756,166,14398,550,1
101858,155,10244,552,0
101943,183,14200,470,0
101991,116,15131,486,1
102000,118,17261,526,0
102040,139,17480,501,1
102182,166,13710,491,0
102243,138,13474,573,1
102260,199,7218,474,0
102402,171,10628,503,1
102407,126,12766,566,1
102422,118,14734,496,1
102433,121,10752,538,1
102474,130,12716,547,1
102513,203,19030,441,0
102602,151,16331,515,0
102735,172,13384,522,1
102765,143,15100,534,1
102804,190,17202,488,0
102928,167,9692,517,0
102933,172,16030,520,0
102964,120,9742,336,1
102977,153,15706,535,0
102990,148,13120,540,1
103040,174,8214,520,1
103075,143,10994,481,1
103260,165,13028,506,0
103348,118,15966,463,0
103354,188,7180,480,0
103533,152,15134,448,1
103707,188,29727,538,0
103718,195,9056,464,0
103750,153,12468,546,1
103818,153,18161,511,1
103819,173,13102,502,0
103902,139,16360,492,0
103950,119,17106,500,1
104040,157,11476,495,1
104096,154,11440,502,0
104143,160,14518,518,0
104159,132,16221,494,0
104173,169,17006,552,0
104196,175,12486,484,0
104234,138,12272,541,1
104268,160,16897,540,1
104389,135,11904,518,1
104420,120,13474,450,1
104422,183,11492,483,0
104536,134,9602,540,1
104610,157,12501,499,1
104611,193,18219,496,0
104612,193,12004,493,0
104703,164,18849,498,0
104934,175,18553,482,1
104962,163,10876,519,1
104988,174,19018,510,0
105009,127,16554,516,1
105020,109,13754,470,0
105069,144,19918,574,1
105088,173,10308,497,0
105165,114,14500,564,0
105218,161,11850,493,1
105365,132,11422,535,1
105381,116,16153,436,1
105447,186,9794,447,0
105459,154,11102,518,0
105497,162,20842,512,1
105507,194,22547,476,0
105572,145,10586,498,1
105700,169,14362,516,1
105755,184,11488,485,0
105797,168,12774,498,0
105870,183,11206,482,0
105902,143,14212,543,1
105925,127,10746,511,1
105940,181,11790,523,1
106028,165,8796,516,0
106040,176,7758,457,0
106170,139,9710,536,0
106176,113,9900,363,1
106390,140,12126,533,1
106621,125,14602,587,1
106652,190,8674,489,0
106664,91,12934,488,1
106773,170,24152,522,0
106777,131,9814,514,1
106800,187,13746,497,0
106896,158,13696,532,0
107012,150,19358,510,1
107084,122,14308,484,1
107117,155,13016,478,1
107143,184,9138,508,0
107159,135,18920,514,1
107202,155,19872,579,1
107229,140,19601,557,1
107272,176,16859,509,0
107298,166,20036,511,0
107314,154,13204,505,1
107379,164,8900,410,1
107394,209,10458,454,0
107435,152,10482,501,0
107454,87,14398,336,1
107461,171,14836,493,0
107524,123,8996,442,1
107553,176,13862,511,0
107555,118,10848,485,1
107573,164,16648,507,0
107583,150,11210,459,1
107597,112,13648,381,1
107606,141,10932,482,1
107619,167,9672,511,0
107747,143,8612,543,1
107828,167,24218,508,0
107849,173,21430,506,0
107859,149,8702,559,1
107888,180,18776,481,0
107961,194,8082,461,0
107967,189,11336,485,0
107975,168,8466,451,0
108038,174,15232,535,1
108146,143,10304,513,0
108195,175,13860,492,0
108251,83,11938,569,1
108272,148,13082,507,1
108574,124,11874,493,1
108580,170,7176,498,0
108608,159,11786,521,1
108624,130,17622,514,0
108645,124,18152,498,0
108672,147,8064,554,0
108692,162,14528,509,0
108715,146,17161,530,0
108717,151,13580,512,0
108772,139,9598,521,1
108928,213,9926,430,0
108929,183,17933,479,1
108961,130,13772,507,1
108994,182,8158,483,0
109011,173,11606,553,1
109033,123,15142,449,0
109132,138,16595,528,1
109155,161,16260,530,0
109215,106,17160,507,0
109282,198,8176,441,0
109333,135,11724,532,1
109366,128,14140,420,1
109402,76,14924,450,0
109404,122,12998,500,0
109568,163,14348,460,1
109688,144,9926,493,1
109718,142,15983,568,1
109744,142,9890,515,1
109750,124,12204,522,0
109780,159,16664,465,1
109868,106,17334,524,1
110121,147,17878,505,0
110139,156,10672,483,0
110195,167,11656,485,0
110285,150,13438,528,1
110306,130,22928,536,0
110313,193,14600,503,0
110339,145,12014,519,1
110375,153,11768,448,1
110384,158,9678,512,1
110404,133,21872,517,1
110411,132,16582,515,0
110429,124,12752,499,1
110466,164,11460,576,1
110480,171,17293,514,0
110521,159,10064,568,1
110633,134,10732,472,1
110636,160,13830,529,0
110713,122,14430,491,1
110805,145,13642,516,0
110808,155,11342,533,1
110821,145,10670,494,0
110844,170,23086,579,1
110858,182,9034,460,0
110887,170,22417,501,1
111141,166,9898,513,1
111274,182,9478,507,0
111428,142,10608,541,0
111484,165,12306,539,1
111491,128,17478,502,1
111514,166,14108,494,1
111534,145,10196,486,1
111615,145,11432,514,1
111622,142,12854,556,1
111658,119,13280,467,1
111681,188,11102,475,0
111792,169,11982,492,1
111799,138,20247,506,1
111882,110,14933,516,1
112119,147,10608,533,0
112125,129,10712,507,1
112135,164,13912,513,0
112177,171,16576,483,1
112263,195,8966,561,1
112314,168,12936,546,1
112404,172,14942,493,1
112420,123,10686,502,1
112438,118,9436,354,1
112444,185,16546,495,1
112479,151,10280,511,1
112512,171,9890,508,0
112592,166,15053,520,0
112623,115,9718,513,1
112628,135,13228,525,0
112769,129,12288,483,1
112846,193,11196,494,0
112918,225,14450,473,0
112997,169,22604,530,1
